id,sum,term,payment,guarantees,reason,credits,other_credits,credit_report,marital_status,age,employment,qualification,immigrant,residence_since,accommodation,estate,savings,dependents,phone,status,bankruptcy
29,6836,60,3,none,business,2,none,delay in paying off in the past,male single,63,7+ y.,skilled employee,yes,4,own,unknown or no property,less-than 100 cu,1,yes,less-than 0 cu,1
30,1913,18,3,none,business,1,bank,existing credits paid back duly till now,male married or widowed,36,less-than 1 y.,skilled employee,yes,3,own,real estate,greater-than 1000 cu,1,yes,0 to 200 cu,0
31,4020,24,2,none,furniture or equipment,1,stores,existing credits paid back duly till now,male single,27,1 to 4 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,less-than 0 cu,0
32,5866,18,2,none,new car,2,none,existing credits paid back duly till now,male single,30,1 to 4 y.,skilled employee,yes,2,own,car or other,100 to 500 cu,1,yes,0 to 200 cu,0
33,1264,12,4,none,business,1,none,critical account or other credits existing(not at this bank),male single,57,7+ y.,unskilled resident,yes,4,rent,unknown or no property,unknown or no savings account,1,none,no checking account,0
34,1474,12,4,none,furniture or equipment,1,bank,existing credits paid back duly till now,female divorced or separated or married,33,less-than 1 y.,management or self-employed or highly qualified employee,yes,1,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,greater-than 200 cu or salary assignments for at least 1 year,0
35,4746,45,4,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,25,less-than 1 y.,unskilled resident,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,1,none,0 to 200 cu,1
36,6110,48,1,none,education,1,bank,critical account or other credits existing(not at this bank),male single,31,1 to 4 y.,skilled employee,yes,3,for free,unknown or no property,less-than 100 cu,1,yes,no checking account,0
37,2100,18,4,co-applicant,television or radio,1,stores,existing credits paid back duly till now,male single,37,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,1
38,1225,10,2,none,household appliances,1,none,existing credits paid back duly till now,male single,37,1 to 4 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,yes,greater-than 200 cu or salary assignments for at least 1 year,0
39,458,9,4,none,television or radio,1,none,existing credits paid back duly till now,male single,24,1 to 4 y.,skilled employee,yes,3,own,real estate,less-than 100 cu,1,none,0 to 200 cu,0
40,2333,30,4,none,television or radio,1,bank,existing credits paid back duly till now,male single,30,7+ y.,management or self-employed or highly qualified employee,yes,2,own,car or other,500 to 1000 cu,1,none,no checking account,0
41,1158,12,3,none,television or radio,1,none,existing credits paid back duly till now,male divorced or separated,26,1 to 4 y.,skilled employee,yes,1,own,car or other,500 to 1000 cu,1,yes,0 to 200 cu,0
42,6204,18,2,none,repairs,1,none,delay in paying off in the past,male single,44,1 to 4 y.,unskilled resident,yes,4,own,real estate,less-than 100 cu,2,yes,0 to 200 cu,0
43,6187,30,1,none,used car,2,none,critical account or other credits existing(not at this bank),male married or widowed,24,4 to 7 y.,skilled employee,yes,4,rent,car or other,100 to 500 cu,1,none,less-than 0 cu,0
44,6143,48,4,none,used car,2,stores,critical account or other credits existing(not at this bank),female divorced or separated or married,58,7+ y.,unskilled resident,yes,4,for free,unknown or no property,less-than 100 cu,1,none,less-than 0 cu,1
45,1393,11,4,none,new car,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,35,less-than 1 y.,management or self-employed or highly qualified employee,yes,4,own,car or other,less-than 100 cu,1,none,no checking account,0
46,2299,36,4,none,television or radio,1,none,existing credits paid back duly till now,male single,39,7+ y.,skilled employee,yes,4,own,car or other,500 to 1000 cu,1,none,no checking account,0
47,1352,6,1,none,used car,1,none,existing credits paid back duly till now,female divorced or separated or married,23,unemployed,unemployed or unskilled non-resident,yes,2,rent,building society savings agreement or life insurance,500 to 1000 cu,1,yes,less-than 0 cu,0
48,7228,11,1,none,new car,2,none,critical account or other credits existing(not at this bank),male single,39,1 to 4 y.,unskilled resident,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,1,none,no checking account,0
49,2073,12,4,co-applicant,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,28,1 to 4 y.,skilled employee,yes,2,own,real estate,100 to 500 cu,1,none,no checking account,0
50,2333,24,4,none,furniture or equipment,1,bank,delay in paying off in the past,male single,29,less-than 1 y.,unskilled resident,yes,2,own,building society savings agreement or life insurance,unknown or no savings account,1,none,0 to 200 cu,0
51,5965,27,1,none,used car,2,none,delay in paying off in the past,male single,30,7+ y.,management or self-employed or highly qualified employee,yes,2,own,car or other,less-than 100 cu,1,yes,0 to 200 cu,0
52,1262,12,3,none,television or radio,1,none,existing credits paid back duly till now,male single,25,1 to 4 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,no checking account,0
53,3378,18,2,none,used car,1,none,existing credits paid back duly till now,male single,31,1 to 4 y.,skilled employee,yes,1,own,building society savings agreement or life insurance,unknown or no savings account,1,yes,no checking account,0
54,2225,36,4,none,new car,2,bank,delay in paying off in the past,male single,57,7+ y.,skilled employee,yes,4,for free,unknown or no property,less-than 100 cu,1,yes,0 to 200 cu,1
55,783,6,1,guarantor,new car,1,stores,all credits at this bank paid back duly,male single,26,1 to 4 y.,unskilled resident,yes,2,own,real estate,unknown or no savings account,2,none,no checking account,0
56,6468,12,2,none,television or radio,1,none,existing credits paid back duly till now,male single,52,unemployed,management or self-employed or highly qualified employee,yes,1,own,unknown or no property,unknown or no savings account,1,yes,0 to 200 cu,1
57,9566,36,2,none,television or radio,2,stores,critical account or other credits existing(not at this bank),female divorced or separated or married,31,1 to 4 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,no checking account,0
58,1961,18,3,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,23,7+ y.,management or self-employed or highly qualified employee,yes,2,own,car or other,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
59,6229,36,4,co-applicant,furniture or equipment,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,23,less-than 1 y.,unskilled resident,yes,4,rent,unknown or no property,less-than 100 cu,1,yes,less-than 0 cu,1
60,1391,9,2,none,business,1,bank,existing credits paid back duly till now,male married or widowed,27,1 to 4 y.,skilled employee,yes,1,own,real estate,less-than 100 cu,1,yes,0 to 200 cu,0
61,1537,15,4,guarantor,television or radio,2,none,critical account or other credits existing(not at this bank),male single,50,7+ y.,skilled employee,yes,4,own,real estate,unknown or no savings account,1,yes,0 to 200 cu,0
62,1953,36,4,none,business,1,none,no credits or all paid,male single,61,7+ y.,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,less-than 100 cu,1,yes,0 to 200 cu,1
63,14421,48,2,none,business,1,none,no credits or all paid,male single,25,1 to 4 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,yes,0 to 200 cu,1
64,3181,24,4,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,26,less-than 1 y.,skilled employee,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,no checking account,0
65,5190,27,4,none,repairs,4,none,existing credits paid back duly till now,male single,48,7+ y.,skilled employee,yes,4,own,building society savings agreement or life insurance,unknown or no savings account,2,yes,no checking account,0
66,2171,12,2,none,television or radio,1,bank,existing credits paid back duly till now,female divorced or separated or married,29,less-than 1 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,no checking account,0
67,1007,12,4,none,new car,1,none,existing credits paid back duly till now,male married or widowed,22,1 to 4 y.,skilled employee,yes,1,own,real estate,greater-than 1000 cu,1,none,0 to 200 cu,0
68,1819,36,4,none,education,1,stores,existing credits paid back duly till now,male single,37,1 to 4 y.,skilled employee,yes,4,for free,unknown or no property,less-than 100 cu,1,yes,no checking account,1
69,2394,36,4,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,25,1 to 4 y.,skilled employee,yes,4,own,car or other,unknown or no savings account,1,none,no checking account,0
70,8133,36,1,none,used car,1,bank,existing credits paid back duly till now,female divorced or separated or married,30,1 to 4 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,1,none,no checking account,0
71,730,7,4,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,46,7+ y.,unskilled resident,yes,2,rent,building society savings agreement or life insurance,unknown or no savings account,1,yes,no checking account,0
72,1164,8,3,none,other,2,bank,critical account or other credits existing(not at this bank),male single,51,7+ y.,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,less-than 100 cu,2,yes,less-than 0 cu,0
73,5954,42,2,none,business,2,bank,critical account or other credits existing(not at this bank),female divorced or separated or married,41,4 to 7 y.,unskilled resident,yes,1,own,real estate,less-than 100 cu,1,none,0 to 200 cu,0
74,1977,36,4,none,education,1,none,existing credits paid back duly till now,male single,40,7+ y.,management or self-employed or highly qualified employee,yes,4,own,unknown or no property,unknown or no savings account,1,yes,less-than 0 cu,1
75,1526,12,4,none,used car,2,none,critical account or other credits existing(not at this bank),male single,66,7+ y.,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,less-than 100 cu,1,none,less-than 0 cu,0
76,3965,42,4,none,television or radio,1,none,existing credits paid back duly till now,male single,34,less-than 1 y.,skilled employee,yes,3,own,car or other,less-than 100 cu,1,none,less-than 0 cu,1
77,4771,11,2,none,television or radio,1,none,delay in paying off in the past,male single,51,4 to 7 y.,skilled employee,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,1,none,0 to 200 cu,0
78,9436,54,2,none,used car,1,none,no credits or all paid,male single,39,1 to 4 y.,unskilled resident,yes,2,own,building society savings agreement or life insurance,unknown or no savings account,2,none,no checking account,0
79,3832,30,2,none,furniture or equipment,1,none,existing credits paid back duly till now,male married or widowed,22,less-than 1 y.,skilled employee,yes,1,own,building society savings agreement or life insurance,less-than 100 cu,1,none,0 to 200 cu,0
80,5943,24,1,none,television or radio,2,none,existing credits paid back duly till now,female divorced or separated or married,44,less-than 1 y.,skilled employee,yes,1,own,car or other,unknown or no savings account,1,yes,no checking account,1
81,1213,15,4,none,television or radio,1,stores,existing credits paid back duly till now,male single,47,7+ y.,skilled employee,yes,3,own,building society savings agreement or life insurance,500 to 1000 cu,1,yes,no checking account,0
82,1568,18,3,none,business,1,none,existing credits paid back duly till now,female divorced or separated or married,24,1 to 4 y.,unskilled resident,yes,4,rent,building society savings agreement or life insurance,100 to 500 cu,1,none,no checking account,0
83,1755,24,4,guarantor,other,1,none,existing credits paid back duly till now,female divorced or separated or married,58,7+ y.,unskilled resident,yes,4,own,real estate,less-than 100 cu,1,yes,less-than 0 cu,0
84,2315,10,3,none,television or radio,1,none,existing credits paid back duly till now,male single,52,7+ y.,unskilled resident,yes,4,own,real estate,less-than 100 cu,1,none,less-than 0 cu,0
85,1412,12,4,guarantor,business,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,29,1 to 4 y.,management or self-employed or highly qualified employee,yes,2,own,real estate,less-than 100 cu,1,yes,no checking account,0
86,1295,18,4,none,furniture or equipment,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,27,less-than 1 y.,skilled employee,yes,1,own,building society savings agreement or life insurance,less-than 100 cu,1,none,0 to 200 cu,0
87,12612,36,1,none,education,1,none,existing credits paid back duly till now,male single,47,1 to 4 y.,skilled employee,yes,4,for free,unknown or no property,100 to 500 cu,2,yes,0 to 200 cu,1
88,2249,18,4,none,new car,1,none,existing credits paid back duly till now,male single,30,4 to 7 y.,management or self-employed or highly qualified employee,yes,3,own,car or other,100 to 500 cu,2,yes,less-than 0 cu,0
89,1108,12,4,none,repairs,2,none,no credits or all paid,male single,28,4 to 7 y.,skilled employee,yes,3,own,real estate,less-than 100 cu,1,none,less-than 0 cu,1
90,618,12,4,none,television or radio,1,none,critical account or other credits existing(not at this bank),male single,56,7+ y.,skilled employee,yes,4,own,real estate,less-than 100 cu,1,none,no checking account,0
91,1409,12,4,none,used car,1,none,critical account or other credits existing(not at this bank),male single,54,7+ y.,skilled employee,yes,3,own,real estate,less-than 100 cu,1,none,less-than 0 cu,0
92,797,12,4,none,television or radio,1,bank,critical account or other credits existing(not at this bank),female divorced or separated or married,33,7+ y.,unskilled resident,yes,3,own,building society savings agreement or life insurance,unknown or no savings account,2,none,no checking account,1
93,3617,24,4,co-applicant,furniture or equipment,2,none,critical account or other credits existing(not at this bank),male single,20,7+ y.,skilled employee,yes,4,rent,unknown or no property,unknown or no savings account,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
94,1318,12,4,none,new car,1,none,existing credits paid back duly till now,male single,54,7+ y.,skilled employee,yes,4,own,real estate,greater-than 1000 cu,1,yes,0 to 200 cu,0
95,15945,54,3,none,business,1,none,no credits or all paid,male single,58,less-than 1 y.,skilled employee,yes,4,rent,unknown or no property,less-than 100 cu,1,yes,0 to 200 cu,1
96,2012,12,4,none,education,1,none,critical account or other credits existing(not at this bank),female divorced or separated or married,61,4 to 7 y.,skilled employee,yes,2,own,car or other,unknown or no savings account,1,none,no checking account,0
97,2622,18,4,none,business,1,none,existing credits paid back duly till now,male single,34,1 to 4 y.,skilled employee,yes,4,own,car or other,100 to 500 cu,1,none,0 to 200 cu,0
98,2337,36,4,none,television or radio,1,none,critical account or other credits existing(not at this bank),male single,36,7+ y.,skilled employee,yes,4,own,real estate,less-than 100 cu,1,none,0 to 200 cu,0
99,7057,20,3,none,used car,2,bank,delay in paying off in the past,male single,36,4 to 7 y.,management or self-employed or highly qualified employee,yes,4,rent,building society savings agreement or life insurance,unknown or no savings account,2,yes,0 to 200 cu,0
100,1469,24,4,none,new car,1,none,existing credits paid back duly till now,male married or widowed,41,7+ y.,unskilled resident,yes,4,rent,real estate,100 to 500 cu,1,none,no checking account,0
101,2323,36,4,none,television or radio,1,none,existing credits paid back duly till now,male single,24,4 to 7 y.,skilled employee,yes,4,rent,car or other,less-than 100 cu,1,none,0 to 200 cu,0
102,932,6,3,none,television or radio,1,none,delay in paying off in the past,female divorced or separated or married,24,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,none,no checking account,0
103,1919,9,4,none,furniture or equipment,1,none,critical account or other credits existing(not at this bank),male single,35,4 to 7 y.,skilled employee,yes,3,rent,car or other,less-than 100 cu,1,yes,0 to 200 cu,0
104,2445,12,2,none,used car,1,none,existing credits paid back duly till now,male married or widowed,26,less-than 1 y.,skilled employee,yes,4,rent,car or other,unknown or no savings account,1,yes,no checking account,0
105,11938,24,2,co-applicant,other,2,none,critical account or other credits existing(not at this bank),male single,39,1 to 4 y.,management or self-employed or highly qualified employee,yes,3,own,car or other,less-than 100 cu,2,yes,0 to 200 cu,1
106,6458,18,2,none,new car,2,bank,all credits at this bank paid back duly,male single,39,7+ y.,management or self-employed or highly qualified employee,yes,4,own,unknown or no property,less-than 100 cu,2,yes,no checking account,1
107,6078,12,2,none,new car,1,none,existing credits paid back duly till now,male single,32,4 to 7 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,0 to 200 cu,0
108,7721,24,1,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,30,less-than 1 y.,skilled employee,no,2,own,building society savings agreement or life insurance,unknown or no savings account,1,yes,less-than 0 cu,0
109,1410,14,1,none,business,1,none,existing credits paid back duly till now,male married or widowed,35,7+ y.,skilled employee,yes,2,own,real estate,500 to 1000 cu,1,yes,0 to 200 cu,0
110,1449,6,1,none,business,2,bank,delay in paying off in the past,male divorced or separated,31,7+ y.,skilled employee,yes,2,own,car or other,100 to 500 cu,2,none,0 to 200 cu,0
111,392,15,4,none,education,1,none,existing credits paid back duly till now,female divorced or separated or married,23,less-than 1 y.,skilled employee,yes,4,rent,building society savings agreement or life insurance,less-than 100 cu,1,yes,greater-than 200 cu or salary assignments for at least 1 year,0
112,6260,18,3,none,new car,1,none,existing credits paid back duly till now,male single,28,4 to 7 y.,unskilled resident,yes,3,rent,real estate,less-than 100 cu,1,none,0 to 200 cu,0
113,7855,36,4,none,new car,2,stores,critical account or other credits existing(not at this bank),female divorced or separated or married,25,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,yes,no checking account,1
114,1680,12,3,none,television or radio,1,none,existing credits paid back duly till now,male married or widowed,35,7+ y.,skilled employee,yes,1,own,real estate,500 to 1000 cu,1,none,less-than 0 cu,0
115,3578,48,4,none,television or radio,1,none,critical account or other credits existing(not at this bank),male single,47,7+ y.,skilled employee,yes,1,own,real estate,unknown or no savings account,1,yes,no checking account,0
116,7174,42,4,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,30,4 to 7 y.,management or self-employed or highly qualified employee,yes,3,own,car or other,unknown or no savings account,1,yes,less-than 0 cu,1
117,2132,10,2,co-applicant,furniture or equipment,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,27,less-than 1 y.,skilled employee,no,3,rent,real estate,unknown or no savings account,1,none,less-than 0 cu,0
118,4281,33,1,none,furniture or equipment,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,23,1 to 4 y.,skilled employee,yes,4,own,car or other,500 to 1000 cu,1,none,less-than 0 cu,1
119,2366,12,3,none,new car,1,none,critical account or other credits existing(not at this bank),male divorced or separated,36,4 to 7 y.,management or self-employed or highly qualified employee,yes,3,own,car or other,500 to 1000 cu,1,yes,0 to 200 cu,0
120,1835,21,3,none,television or radio,2,none,existing credits paid back duly till now,female divorced or separated or married,25,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,yes,less-than 0 cu,1
121,3868,24,4,none,used car,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,41,7+ y.,management or self-employed or highly qualified employee,yes,2,rent,car or other,less-than 100 cu,1,yes,no checking account,0
122,1768,12,3,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,24,1 to 4 y.,unskilled resident,yes,2,rent,real estate,less-than 100 cu,1,none,no checking account,0
123,781,10,4,none,new car,2,none,critical account or other credits existing(not at this bank),male single,63,7+ y.,skilled employee,yes,4,for free,unknown or no property,less-than 100 cu,1,yes,greater-than 200 cu or salary assignments for at least 1 year,0
124,1924,18,4,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,27,less-than 1 y.,skilled employee,yes,3,rent,real estate,unknown or no savings account,1,none,0 to 200 cu,1
125,2121,12,4,none,new car,2,none,critical account or other credits existing(not at this bank),male single,30,1 to 4 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,1,none,less-than 0 cu,0
126,701,12,4,none,television or radio,1,none,existing credits paid back duly till now,male married or widowed,40,1 to 4 y.,unskilled resident,yes,2,own,real estate,less-than 100 cu,1,none,less-than 0 cu,0
127,639,12,4,none,repairs,1,none,existing credits paid back duly till now,male single,30,1 to 4 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,0 to 200 cu,1
128,1860,12,4,none,used car,2,none,critical account or other credits existing(not at this bank),male single,34,unemployed,management or self-employed or highly qualified employee,yes,2,own,car or other,less-than 100 cu,1,yes,0 to 200 cu,0
129,3499,12,3,co-applicant,new car,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,29,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,none,less-than 0 cu,1
130,8487,48,1,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,24,4 to 7 y.,skilled employee,yes,2,own,car or other,unknown or no savings account,1,none,0 to 200 cu,0
131,6887,36,4,none,education,1,stores,delay in paying off in the past,male single,29,1 to 4 y.,skilled employee,yes,3,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,less-than 0 cu,1
132,2708,15,2,none,furniture or equipment,2,bank,existing credits paid back duly till now,male single,27,less-than 1 y.,unskilled resident,yes,3,own,building society savings agreement or life insurance,less-than 100 cu,1,none,no checking account,0
133,1984,18,4,none,furniture or equipment,2,bank,existing credits paid back duly till now,male single,47,1 to 4 y.,skilled employee,yes,4,for free,unknown or no property,less-than 100 cu,1,none,no checking account,0
134,10144,60,2,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,21,4 to 7 y.,skilled employee,yes,4,own,real estate,100 to 500 cu,1,yes,no checking account,0
135,1240,12,4,none,television or radio,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,38,7+ y.,skilled employee,yes,2,own,real estate,unknown or no savings account,1,yes,no checking account,0
136,8613,27,2,none,used car,2,none,delay in paying off in the past,male single,27,1 to 4 y.,skilled employee,yes,2,own,car or other,greater-than 1000 cu,1,none,no checking account,0
137,766,12,4,none,television or radio,1,none,existing credits paid back duly till now,male single,66,1 to 4 y.,unskilled resident,yes,3,own,real estate,500 to 1000 cu,1,none,0 to 200 cu,1
138,2728,15,4,guarantor,television or radio,3,bank,critical account or other credits existing(not at this bank),male single,35,4 to 7 y.,skilled employee,yes,2,own,real estate,unknown or no savings account,1,yes,0 to 200 cu,0
139,1881,12,2,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,44,1 to 4 y.,unskilled resident,yes,2,rent,car or other,less-than 100 cu,1,yes,greater-than 200 cu or salary assignments for at least 1 year,0
140,709,6,2,none,new car,1,none,existing credits paid back duly till now,male married or widowed,27,less-than 1 y.,unemployed or unskilled non-resident,no,2,own,real estate,greater-than 1000 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
141,4795,36,4,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,30,less-than 1 y.,management or self-employed or highly qualified employee,yes,1,own,unknown or no property,less-than 100 cu,1,yes,0 to 200 cu,0
142,3416,27,3,none,television or radio,1,none,existing credits paid back duly till now,male single,27,1 to 4 y.,management or self-employed or highly qualified employee,yes,2,own,car or other,less-than 100 cu,1,none,less-than 0 cu,0
143,2462,18,2,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,22,1 to 4 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,less-than 0 cu,1
144,2288,21,4,none,furniture or equipment,1,none,critical account or other credits existing(not at this bank),female divorced or separated or married,23,less-than 1 y.,skilled employee,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,no checking account,0
145,3566,48,4,none,business,1,none,all credits at this bank paid back duly,male single,30,4 to 7 y.,skilled employee,yes,2,own,car or other,100 to 500 cu,1,none,0 to 200 cu,0
146,860,6,1,none,new car,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,39,7+ y.,skilled employee,yes,4,own,unknown or no property,less-than 100 cu,1,yes,less-than 0 cu,0
